For this combination [['tanh', 5], ['tanh', 5], 'tanh'], R is -1.91
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['linear', 5], 'tanh'], R is -1.08
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['linear', 5], 'linear'], R is -5.58
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['linear', 5], 'relu'], R is -6.80
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['linear', 5], 'tanh'], R is -1.57
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['linear', 5], 'linear'], R is -9.63
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['linear', 5], 'relu'], R is -7.59
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['linear', 5], 'tanh'], R is -1.00
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['linear', 5], 'linear'], R is -9.65
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['linear', 5], 'relu'], R is -1.63
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['linear', 5], 'tanh'], R is -1.88
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['linear', 5], 'linear'], R is -1.76
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['linear', 5], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['linear', 5], 'tanh'], R is -0.33
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['linear', 5], 'linear'], R is -1.67
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['linear', 5], 'relu'], R is -2.49
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['linear', 5], 'tanh'], R is -0.41
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['linear', 5], 'linear'], R is -15.18
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['linear', 5], 'relu'], R is -6.40
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['linear', 5], 'tanh'], R is -5.78
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['linear', 5], 'linear'], R is -14.46
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['linear', 5], 'relu'], R is -9.32
