For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.25
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'], R is 0.16
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'], R is -2.50
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'], R is -0.02
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'], R is 0.03
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'], R is 0.09
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.1580 and combination is [['tanh', 100], ['linear', 100], ['linear', 100], ['linear', 120], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'], R is 0.19
The best_R for now is 0.1852 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'], R is 0.18
The best_R for now is 0.1852 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.1852 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'], R is -0.01
The best_R for now is 0.1852 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'], R is 0.09
The best_R for now is 0.1852 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.1852 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'], R is -16.07
The best_R for now is 0.1852 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'], R is 0.28
The best_R for now is 0.2759 and combination is [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.2759 and combination is [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'], R is -13.04
The best_R for now is 0.2759 and combination is [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['relu', 120], 'tanh'], R is -13.64
The best_R for now is 0.2759 and combination is [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.2759 and combination is [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'], R is -9.14
The best_R for now is 0.2759 and combination is [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'tanh'], R is -7.45
The best_R for now is 0.2759 and combination is [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['linear', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'relu'], R is -0.24
The best_R for now is 0.2759 and combination is [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'], R is 0.22
The best_R for now is 0.2759 and combination is [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['relu', 120], 'tanh'], R is 0.16
The best_R for now is 0.2759 and combination is [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['linear', 100], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.2759 and combination is [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'], R is 0.29
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'tanh'], R is 0.28
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'], R is 0.18
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['relu', 120], 'tanh'], R is -0.13
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 100], ['linear', 100], ['linear', 100], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'], R is 0.25
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'tanh'], R is -0.74
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'relu'], R is -0.07
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['linear', 100], ['linear', 100], ['linear', 120], ['linear', 100], 'linear'], R is -0.15
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['linear', 100], ['linear', 100], ['linear', 120], ['linear', 100], 'tanh'], R is -0.06
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['linear', 100], ['linear', 100], ['linear', 120], ['linear', 100], 'relu'], R is -1.86
