For this combination [['tanh', 5], ['tanh', 5], ['tanh', 5], 'tanh'], R is -2.77
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.08
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 10], ['tanh', 5], ['tanh', 18], 'tanh'], R is -6.10
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 10], ['tanh', 5], ['tanh', 18], 'linear'], R is -5.77
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 10], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.14
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 18], ['tanh', 5], ['tanh', 18], 'tanh'], R is -0.85
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 18], ['tanh', 5], ['tanh', 18], 'linear'], R is -2.42
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 18], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['tanh', 5], ['tanh', 18], 'tanh'], R is -0.56
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['tanh', 5], ['tanh', 18], 'linear'], R is -1.76
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.25
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], ['tanh', 50], 'tanh'], R is -1.64
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], ['tanh', 50], 'linear'], R is -1.46
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], ['tanh', 50], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['tanh', 50], 'tanh'], R is -2.20
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['tanh', 50], 'linear'], R is -4.26
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['tanh', 50], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 50], 'tanh'], R is -2.60
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 50], 'linear'], R is -2.09
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 50], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 50], 'tanh'], R is -2.92
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 50], 'linear'], R is -3.68
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 50], 'relu'], R is -0.08
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 50], 'tanh'], R is -2.67
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 50], 'linear'], R is -1.75
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 50], 'relu'], R is -0.28
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 50], 'tanh'], R is -0.76
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 50], 'linear'], R is -2.94
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 50], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['tanh', 50], 'tanh'], R is -0.45
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['tanh', 50], 'linear'], R is -0.78
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['tanh', 50], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['tanh', 50], 'tanh'], R is -0.15
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['tanh', 50], 'linear'], R is -0.99
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['tanh', 50], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['tanh', 50], 'tanh'], R is -3.17
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['tanh', 50], 'linear'], R is -2.98
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['tanh', 50], 'relu'], R is -1.75
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 10], ['tanh', 5], ['tanh', 50], 'tanh'], R is -1.51
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 10], ['tanh', 5], ['tanh', 50], 'linear'], R is -2.09
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 10], ['tanh', 5], ['tanh', 50], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 18], ['tanh', 5], ['tanh', 50], 'tanh'], R is -3.39
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 18], ['tanh', 5], ['tanh', 50], 'linear'], R is -1.82
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 18], ['tanh', 5], ['tanh', 50], 'relu'], R is -0.07
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['tanh', 5], ['tanh', 50], 'tanh'], R is -0.99
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['tanh', 5], ['tanh', 50], 'linear'], R is -0.53
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['tanh', 5], ['tanh', 50], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], ['linear', 5], 'tanh'], R is -0.90
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], ['linear', 5], 'linear'], R is -4.88
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], ['linear', 5], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['linear', 5], 'tanh'], R is -7.93
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'], R is -5.68
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['linear', 5], 'relu'], R is -0.62
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['linear', 5], 'tanh'], R is -10.68
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['linear', 5], 'linear'], R is -10.56
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['linear', 5], 'relu'], R is -0.54
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['linear', 5], 'tanh'], R is -14.96
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['linear', 5], 'linear'], R is -24.82
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['linear', 5], 'relu'], R is -1.64
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['linear', 5], 'tanh'], R is -4.18
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['linear', 5], 'linear'], R is -3.78
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['linear', 5], 'relu'], R is -1.52
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['linear', 5], 'tanh'], R is -2.12
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['linear', 5], 'linear'], R is -8.19
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['linear', 5], 'relu'], R is -1.67
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['linear', 5], 'tanh'], R is -2.95
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['linear', 5], 'linear'], R is -2.80
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['linear', 5], 'relu'], R is -0.24
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['linear', 5], 'tanh'], R is -1.16
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['linear', 5], 'linear'], R is -3.00
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['linear', 5], 'relu'], R is -2.04
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['linear', 5], 'tanh'], R is -3.19
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['linear', 5], 'linear'], R is -10.59
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['linear', 5], 'relu'], R is -0.24
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 10], ['tanh', 5], ['linear', 5], 'tanh'], R is -1.57
