The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softmax', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -3.33
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softmax', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -12.73
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softmax', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -1.11
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softmax', 100], ['linear', 100], ['tanh', 100], 'elu'], R is -0.74
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softmax', 100], ['linear', 100], ['tanh', 100], 'softmax'], R is -45.39
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softmax', 100], ['linear', 100], ['tanh', 100], 'softplus'], R is -120.17
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softmax', 100], ['linear', 100], ['tanh', 100], 'selu'], R is -4.45
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -0.25
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -11.11
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -0.93
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['tanh', 100], 'elu'], R is -2.04
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['tanh', 100], 'softmax'], R is -45.37
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['tanh', 100], 'softplus'], R is 0.20
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['tanh', 100], 'selu'], R is -0.92
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -0.38
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -0.08
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['tanh', 100], 'elu'], R is -0.26
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['tanh', 100], 'softmax'], R is -45.35
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['tanh', 100], 'softplus'], R is 0.23
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['tanh', 100], 'selu'], R is -2.59
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['relu', 100], 'linear'], R is -1.26
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['relu', 100], 'tanh'], R is -0.64
