For this combination [['linear', 50], ['linear', 50], ['linear', 50], 'linear'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['linear', 120], 'linear'], R is -0.10
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['linear', 120], 'tanh'], R is 0.10
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['linear', 120], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['linear', 120], 'linear'], R is -0.43
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['linear', 120], 'tanh'], R is -0.18
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['linear', 120], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['linear', 120], 'linear'], R is 0.03
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['linear', 120], 'tanh'], R is 0.03
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['linear', 120], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 50], ['linear', 50], ['linear', 120], 'linear'], R is -0.21
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 50], ['linear', 50], ['linear', 120], 'tanh'], R is 0.17
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 50], ['linear', 50], ['linear', 120], 'relu'], R is -0.07
